Sample,Sample No,Co59,Ni60,Cu65,Zn66,As75,Mo95,Ag107,Sb121,Te125,Au197,Tl205,Pb208
20220120_JLW76-A3 - 2,JLW76,0.166908553,0.400305404,0.654914028,4.511747124,0.247039147,0.013966751,0.00721347,0.090061419,0.090280528,0.527113268,0.014911462,0.027030729
20220120_JLW76-A3 - 3,JLW76,1.756272017,3.704985547,4.273375475,6.221175706,2.567824363,0.046771143,0.104847866,0.344157578,0.158032656,0.04025226,0.01882073,0.469438751
20220120_JLW76-A3 - 4,JLW76,7.468031164,19.22674871,55.57515008,4.500474698,318.9053054,1.265407226,0.128311696,1.008778831,0.09430152,0.887039981,0.079379306,12.99001062
20220120_JLW76-A3 - 5,JLW76,2.27639665,4.589823692,3.461152401,6.644802657,7.383893177,0.23547063,0.02124916,0.366537191,0.265961915,1.516635503,0.040305699,0.221555382
20220120_SX88.15 - 1,SX88.15,0.248478974,1.053268835,14.71943162,3.008993053,538.7276558,5.707653676,0.303871769,3.383233963,0.068431086,0.312730579,0.070689969,13.46899027
20220120_SX88.15 - 2,SX88.15,0.040852061,0.348559639,12.37653088,4.708547599,354.9214612,10.82898612,0.357000937,4.128883324,0.013148585,0.79760501,0.159172604,11.69311208
20220120_SX88.15 - 3,SX88.15,0.035888368,0.09316055,6.430943041,2.056750283,1671.896505,40.12357459,0.324018343,6.423664453,0.044056908,0.032772098,0.213835063,7.994059004
20220120_SX88.15 - 4,SX88.15,0.047205659,0.176354859,0.261882598,3.685085002,395.9348508,30.50481377,0.222404863,5.676916839,0.02278692,0.235391612,0.262004117,0.290588228
20220120_SX88.15 - 5,SX88.15,0.125969462,0.157073502,10.20450573,3.362338843,183.4282436,2.067078683,0.238972747,2.302915951,0.099807296,0.194816539,0.037186263,8.354776265
20220120_SX88.15 - 6,SX88.15,0.018268628,0.073076642,24.86428004,1.842812456,221.568384,6.015550367,0.330993764,3.713547647,0.021602252,0.626588697,0.08724054,16.89900533
20220120_SX88.15 - 7,SX88.15,0.070021202,0.297383249,25.94518995,1.889215186,347.7296708,7.717615347,0.250830631,3.008856707,0.030729473,0.077488865,0.085498218,13.1724321
20220120_SX88.15 - 8,SX88.15,0.101380787,0.227506652,4.433916009,1.804878477,1254.703678,18.06258179,0.300344545,5.257092787,0.027530157,0.018379474,0.092779858,8.211448694
20220120_SX88.15 - 9,SX88.15,0.070070909,0.217312829,97.42655444,6.704522843,1143.008948,24.81431353,0.039650261,4.933376689,0.096659899,0.037397676,0.46239054,0.340502404
20220120_SX88.15 - 10,SX88.15,0.046421527,0.403055974,71.50326607,10.64426117,961.1575352,23.07968936,0.033806665,4.86856538,0.018883111,0.050083567,0.574230435,0.169391262
20220120_SX88.15 - 11,SX88.15,1.348990626,10.65016705,23.71794921,11.56563078,4132.802372,51.42106883,0.14115096,5.313817283,0.215305456,0.016886017,0.170643278,5.701124116
20220120_SX88.15 - 12,SX88.15,0.021000216,0.194524974,11.9994711,5.352284582,124.326009,17.44028015,0.506120558,3.956469248,0.086331951,0.026827676,0.302845274,0.193332274
20220120_SX88.15 - 13,SX88.15,0.095191579,0.30822278,2.640749127,2.178606464,220.1185858,13.16157633,0.226799396,3.660430054,0.157662626,0.040808586,0.162062167,1.688793249
20220120_SX88.15 - 14,SX88.15,0.068830619,0.264790318,23.25010736,4.3432774,744.1458713,9.484690767,0.20035209,3.269839979,0.021472863,1.815340836,0.05019799,12.14314842
20220120_SX88.15 - 15,SX88.15,0.049551067,0.25589791,4.862420595,4.723052018,3683.717734,37.87876033,0.309521194,9.560478241,0.037188867,0.162265042,0.186590839,11.35416263
20220120_SX88.15 - 16,SX88.15,0.088924161,0.312441471,4.509003111,2.002875909,556.8070186,9.858049735,0.297506585,4.7375863,0.028998098,0.057503286,0.136936185,9.093014251
20220120_SX88.15 - 17,SX88.15,0.187026304,0.379053723,0.657060826,2.886298965,310.2655754,9.469477054,0.30312666,5.686645674,0.090396906,0.777720842,0.116453817,6.067677997
20220120_SX88.15 - 18,SX88.15,0.024384979,0.244739813,0.158635578,5.554022408,473.6424954,17.70797918,0.044546597,4.011602618,0.166249662,0.00875658,0.166420751,0.530216416
20220120_SX88.15 - 19,SX88.15,0.013524291,0.248036793,1.07248054,2.766927782,1737.766955,52.93486204,0.147383856,10.65967174,0.058808757,0.02291589,0.477767138,2.322616211
20220120_SX88.15 - 20,SX88.15,0.035377874,0.214096237,0.492837481,5.917625588,573.2221234,55.68015501,0.064072297,8.086415391,0.056089958,0.020977223,0.330243088,0.089475485
20220120_SX88.15 - 21,SX88.15,0.200090169,0.376360547,3.41325303,4.095526562,838.1869769,10.43141143,0.018398256,3.499961954,0.06693831,0.202551659,0.200209242,0.402051816
20220120_SX88.15 - 22,SX88.15,0.086003665,0.374389859,11.06026792,4.521633619,1868.872809,54.35513973,0.06946544,7.85273677,0.063603062,0.368544045,0.408412048,0.607509327
20220120_SX88.15 - 23,SX88.15,0.164157346,0.940343744,24.0390744,17.92149065,4382.701936,86.18981628,0.344127145,14.64296442,0.071803676,0.060421978,0.603729239,2.760404581
20220120_SX88.15 - 24,SX88.15,0.068047714,0.39420952,1.763664419,3.093549232,681.6253823,23.98750062,0.236804287,4.490391396,0.092827024,0.033487047,0.17867433,5.411642734
